proposal_key	ontology_id	label	kind	iscc_nbs_level	iscc_nbs_number	status	canonical_key
ISCCNBS:L3_169	FLOPO:0988187	strong greenish blue	backbone_class	3	169	new_flopo_local	ISCCNBS:L3_169
ISCCNBS:L3_170	FLOPO:0988188	deep greenish blue	backbone_class	3	170	new_flopo_local	ISCCNBS:L3_170
ISCCNBS:L3_171	FLOPO:0988189	very light greenish blue	backbone_class	3	171	new_flopo_local	ISCCNBS:L3_171
ISCCNBS:L3_172	FLOPO:0988190	light greenish blue	backbone_class	3	172	new_flopo_local	ISCCNBS:L3_172
ISCCNBS:L3_173	FLOPO:0988191	moderate greenish blue	backbone_class	3	173	new_flopo_local	ISCCNBS:L3_173
ISCCNBS:L3_174	FLOPO:0988192	dark greenish blue	backbone_class	3	174	new_flopo_local	ISCCNBS:L3_174
ISCCNBS:L3_175	FLOPO:0988193	very dark greenish blue	backbone_class	3	175	new_flopo_local	ISCCNBS:L3_175
ISCCNBS:L3_176	FLOPO:0988194	vivid blue	backbone_class	3	176	new_flopo_local	ISCCNBS:L3_176
ISCCNBS:L3_177	FLOPO:0988195	brilliant blue	backbone_class	3	177	new_flopo_local	ISCCNBS:L3_177
ISCCNBS:L3_178	FLOPO:0988196	strong blue	backbone_class	3	178	new_flopo_local	ISCCNBS:L3_178
ISCCNBS:L3_179	PATO:0104064	deep blue	backbone_class	3	179	existing_pato_reused	ISCCNBS:L3_179
ISCCNBS:L3_180	FLOPO:0988197	very light blue	backbone_class	3	180	new_flopo_local	ISCCNBS:L3_180
ISCCNBS:L3_181	FLOPO:0988198	light blue	backbone_class	3	181	new_flopo_local	ISCCNBS:L3_181
ISCCNBS:L3_182	FLOPO:0988199	moderate blue	backbone_class	3	182	new_flopo_local	ISCCNBS:L3_182
